index,parent_company,company,trading_name,ticker,industry,region,product,exposure_type,material_or_driver,usage_reason,sensitivity,exposure_weight,source_url,modeling_note
0,Albemarle Corporation,Albemarle Corporation,Albemarle,ALB,Specialty Chemicals / Lithium,United States / Global,Battery-grade lithium chemicals,producer,Lithium prices,"Produces lithium carbonate and lithium hydroxide used across lithium-ion battery supply chains; stronger lithium pricing can improve realized pricing, subject to contracts and costs.",1.0,0.95,https://www.albemarle.com/global/en/what-we-offer/solutions/battery-materials-technologies,Demo sensitivity/weight; not company guidance.
1,Albemarle Corporation,Albemarle Corporation,Albemarle,ALB,Specialty Chemicals / Lithium,United States / Global,Lithium for grid storage,producer,Battery storage demand,Battery energy-storage growth can increase demand for battery-grade lithium products.,0.8,0.8,https://www.albemarle.com/global/en/what-we-offer/industries,Demo sensitivity/weight; not company guidance.
2,"Tesla, Inc.","Tesla, Inc.",Tesla,TSLA,Automotive / Energy Storage,United States / Global,Electric vehicles,consumer,Lithium prices,"Lithium-ion batteries are central to electric vehicles; higher battery-material pricing can pressure cell and pack economics, though sourcing and internal processing can offset part of the effect.",-0.75,0.7,https://ir.tesla.com/_flysystem/s3/sec/000162828026003952/tsla-20251231-gen.pdf,"Demo sensitivity/weight; Tesla also operates lithium processing, so real exposure is more complex."
3,"Tesla, Inc.","Tesla, Inc.",Tesla,TSLA,Automotive / Energy Storage,United States / Global,Megapack and stationary battery storage,beneficiary,Battery storage demand,Growth in grid-scale and stationary storage can support demand for energy-storage products.,0.65,0.75,https://www.tesla.com/,Demo sensitivity/weight; not company guidance.
4,NVIDIA Corporation,NVIDIA Corporation,NVIDIA,NVDA,Semiconductors / AI Computing,United States / Global,Data-center GPUs and AI accelerators,producer,AI accelerator demand,Demand for accelerated computing and AI infrastructure is a major driver of data-center GPU and platform demand.,1.0,0.95,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,Demo sensitivity/weight; not company guidance.
5,NVIDIA Corporation,NVIDIA Corporation,NVIDIA,NVDA,Semiconductors / AI Computing,United States / Global,Advanced AI chips,regulatory,AI export restrictions,Tighter export-license rules can restrict addressable markets for advanced AI processors and complicate shipment planning.,-0.85,0.8,https://www.nvidia.com/en-us/data-center/,"Demo sensitivity/weight; actual effect depends on licenses, product mix and geography."
6,Taiwan Semiconductor Manufacturing Company Limited,Taiwan Semiconductor Manufacturing Company Limited,TSMC,TSM,Semiconductor Foundry,Taiwan / Global,Leading-edge wafers and advanced packaging,producer,AI chip demand,Robust AI demand supports leading-edge logic and advanced packaging demand at the foundry level.,0.9,0.95,https://investor.tsmc.com/static/annualReports/2025/english/index.html,Demo sensitivity/weight; not company guidance.
7,Taiwan Semiconductor Manufacturing Company Limited,Taiwan Semiconductor Manufacturing Company Limited,TSMC,TSM,Semiconductor Foundry,Taiwan / Global,Advanced semiconductor manufacturing,regulatory,AI export controls,"Export-control changes can affect customer eligibility, compliance processes and end-market access for advanced chips manufactured by foundries.",-0.35,0.5,https://www.tsmc.com/english/dedicatedFoundry/technology/platform_HPC,Demo sensitivity/weight; indirect regulatory exposure.
8,Exxon Mobil Corporation,Exxon Mobil Corporation,ExxonMobil,XOM,Integrated Energy,United States / Global,Crude oil and upstream production,producer,Crude oil prices,"As an integrated producer, crude-oil realizations influence upstream economics, while downstream margins can move differently.",0.85,0.85,https://corporate.exxonmobil.com/,Demo net sensitivity/weight; integrated-company economics are more complex.
9,Exxon Mobil Corporation,Exxon Mobil Corporation,ExxonMobil,XOM,Integrated Energy,United States / Global,Refined fuels and energy products,producer,Oil supply disruption,"Supply disruptions can raise commodity risk premiums and alter refining, logistics and product margins.",0.45,0.55,https://corporate.exxonmobil.com/who-we-are/our-global-organization/business-divisions/downstream/a-look-inside-downstream,Demo net sensitivity/weight; not company guidance.
